"Question ID","Question Text","Participant ID","Thought ID","Thought Text"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","7b145c53-5822-4349-b20a-32815cd1973f","43b445bc-135c-4139-944e-3dc50570e817","Society should explicitly prohibit AI from replacing core areas of human emotional responsibility (such as guardianship and medical decision-making), and establish transparency, informed consent and ethical review mechanisms to ensure that emotional interactions do not exploit users or weaken real interpersonal relationships."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","dc1b07c3-d035-49f8-a909-a08fa2b1b677","d4a5552e-f629-48fa-86a9-686d9dee2dd1","Set up the underlying logic: Do not harm humans, the starting point must be love, etc.
"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","920845cb-9365-478d-b072-d79038c036cc","ff12b202-035c-42b9-a04a-43c28173e406","Don't think it's ethical right for human to have sexual relationships with AI"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","17972848-9c42-4122-9fea-6e717f188ace","8e3318ca-4a54-489d-b996-a1b892db1c54","certain barriers should not be crossed, there should be information that it is still only ai"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","307ffd58-0ab3-4f69-9ef1-b0e28445fd9a","48c82556-932d-4fdc-b93f-8aae53b9f758","Psychological knowledge of the person you're dealing with. For rare cases where a person may be potentially dangerous or unstable, AI tends to be sycophantic, and this could give feedback to the wrong people."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","de66c66c-186a-4dc9-a692-0d3c36b543dd","52ee6b8e-f6f2-4221-8e4c-acd8c85ac245","Personal touch, personal emotional care that humans can give humans should be left to humans. You cant create a bigger issue to resolve a smaller one. We are already on the verge of losing humanity, personal belongingness in our relationships, if AI took over companionship and romance, it will kill us all inside making us more alone, more desperate "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","7f9aeba3-01b4-4bbc-aa08-4e0e74fdf634","2a79075b-52b8-4bb6-a399-8ef01328138f","I think they should not act completely like human, there should be a clear line"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","20a7c355-7776-4bce-a541-68ab067f9e0d","63edb55f-895e-43c9-9f20-c0d67b36c85e","there is just no interest and contact"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","49f5b547-146a-4061-8bc5-cf79f8329d3f","c2adfb38-6f16-4630-b2c8-b11e280c62a9","I think the AI should not respond in a romantic way and shouldn't pretend it's a romantic partner. "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","c2d66804-ce32-40f5-87d7-b462ff35d322","1f7927ca-3069-4d99-a38b-71a069765ba0","AI is not human. It doesn't have body. "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","532ce8b3-3b1e-49a2-9c6f-c153f983ed44","ef02d936-605e-47ba-a959-91814b627595","you cannot be intimate with them"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","2828cc7b-9b46-47c1-92e5-2513d4d143f1","35a884a0-c83c-4fc3-8b34-fa4191e1efe3","absolutely, otherwise it can be a problem for people who don't know how to limit their dependency with AI"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","334c1935-1fc0-487b-92ff-75ab0b9afe90","ee94b243-4044-4574-9a98-0edc47d9292f","The content that artificial intelligence should avoid talking about should be set according to the sensitive information of the specific service object"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","c0e841be-094d-4a4b-a323-e53b10d11da0","0fb90082-835d-49aa-98db-643d5747992a","Don’t let humans (especially those who need emotional companionship) develop absolute trust in artificial intelligence. Humans need to always understand that artificial intelligence is always a tool created by humans."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","9ca6e810-6de0-494a-bf5b-bbb61bf0f866","e0fc9620-b6a3-45c4-8fcb-2e2d034a6046","Over dependancy on AI is dangerous in this particular aspect and I am totally cluless that how should I respond. In my opinion, there are several things to seriously think of. "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","6f9efd64-a974-44f0-b0ec-58496526e719","6f716675-9999-4ad5-8470-0c538125c1b9","I don't see any point in any specific restrictions."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","a0c4b689-e5da-4bc9-a848-c0fb133e8c26","34d0ecfb-3cad-4a0d-8d3a-9cc133a1dff7","Ai should not judge my relatioship with a person and ought not to aadvice a person on what to do in a specific relatioship. it has no feelings and cannot understand what a person goes through"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","fd080dc0-eeef-4fe9-894e-131a997de673","10db1973-98b2-4cf2-8bd4-e46384298978","it shouldn't replace people."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","31e62680-c944-4ad4-8c4c-e8b5cfc33e18","54a5a2d3-c839-4c03-95a5-ab0836276215","I believe that it is clear from the beginning that it is an AI system, not a person, and therefore, the person must be reminded of this at all times so that the person does not delude themselves and does not have subsequent emotional problems due to this illusion."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","3073f605-9cfd-4c85-ba18-037c3f2fffaa","1747b1ee-068e-4890-ab4f-98ad023e85c2","Making people feel like they are talking to a person when they are not by reminding them they are not human but a written code"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","6f4ed292-7b75-4da4-a1c4-51f802e6c869","608521fd-a2ee-431e-9fad-2797d51b2143","I personally believe that AI is not yet programmed to provide this type of support, so society must impose reliability limits for this type of complex situation."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","5d9483d1-6b09-4554-aa2d-ddfda6295b0e","b56e6263-692f-4c3f-a85a-389cb9c812c7","There should be a limit because no machine can truly take the place of a human being. Technology can change overtime, so depending on AI for companionship is not advisable. "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","3e33769e-f59d-417a-a8ae-a3a951452ff4","2696e4a4-dbd2-4a92-99c0-4f835bdc1eb2","I think AI should not have access to people's personal health information."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","69305fec-da85-4638-b258-5863bb2940c8","3f331959-a642-4352-a762-7e9729bfa8d0","It should never hurt humans"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","3fba4b71-6d86-4113-87ab-ddeda7d8c502","1b7ea08c-e7d9-4b54-9d0f-dd1acea3b4fb","This situation must be clearly disclosed, and the user must explicitly agree that the other party is AI and not a real person."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","8beff4ca-cb79-4788-a45c-3cc130ef05b1","b406f60d-0426-4a4c-8525-cd83fe2b0666","AI should not ask personal questions"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","a6f09667-8fa5-4aff-89b1-fd2d1892af9d","6e3d92a3-f015-4959-8349-f3ed705e1330","I would refrain from this behaviour"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","df5cc837-e829-4023-a9c9-5eec5bc41793","f81e5730-b48a-4acf-aa5a-8acc95138bc9","AI is merely a tool. It can't take on role that provide emotional connection."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","a90d1ae7-feed-468e-908a-9d9a675b8ccb","97bb1e9c-3bd3-419d-bdba-f8647bb21ed8","AI doesn't understand contexts other than the one it's been trained in, which is usually biased by those who created these platforms (reduced number of women and/or ethnic diversity), so it will never be able to adapt to these different contexts, since it doesn't live in them."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","3009290a-1e36-4306-ba01-cad595a52dba","b9ad62bf-afe8-4ad3-92c6-2e242999b3e9","Respecting user choice is the main thing, setting restrictions is secondary. If necessary, I might suggest some privacy restrictions."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","b294ab9c-3d68-40e6-9509-28b78b90eba6","1eda3695-9920-46a2-963c-2d196008ff82","I don´t know how to phrase it exactly, but it seems like AI as a human replacement is nothing but a bowl of water to put out a wildfire."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","a36afb67-d675-40be-9885-463ae274cdb2","565adce5-8cbf-48b8-9ed4-8873b9d49229","It should not cross some boundaries like saying explicit content etc. It should be normal"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","6dc53a34-72e3-4df3-8975-159a54ac4632","c05f53d1-330b-4ed0-9935-138b78f93e06","i can't speak for society but personally myself, i am not okay sharing any of my personal life, private thoughts with an ai"
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","994d9510-aea8-4fa6-b071-0e36d3ee6fb9","fa15d94f-aff0-43db-8491-09be57dd810a","Al shouldn’t have the capacity to act in these roles "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","c01f786f-03d7-4a1b-9b4a-42470d69ef7b","fbc1ba2f-05aa-4ef7-a385-fc29678c30ec","Th we e should not be emotional aspect to AI and no sexual orientation "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","8d6e5568-b3f2-40ed-b705-e647f0fa446b","61262d75-9d79-4017-bc98-fd1483971e08","Humans should stop relying on ai for emotional support, I don't mind advices, don't get me wrong please, but diving too deep into emotions that it won't even understand is not an option, did I seek advice and comfort from ai before? of course I did, I was desperate, but here's the catch: it's shallow, I don't think pestering a loved one with my issues 24/7 is an option either, but one must find a balance. But to have ai as a lover, HELL NAH. NEVER.  "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","1ea2b99d-e3b4-42fd-9549-69fb81cca2f1","9442f8c4-d609-41ec-ae85-4bec2f8d7398","I think when the line between real and artificial connections becomes completely blurry, that's where the line should be drawn, meaning it should never get to the point where there remains no difference between real and artificial connections "
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","7d29501c-31d7-4426-9599-e14f09ab1973","d946a01e-1d38-4d84-b7c5-6eb4f3040e70","Artificial intelligence should be limited to the role of ""assistant"" and not truly replace a real social relationship."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","38a368aa-e6f1-4f3e-80bb-f98fc0c223c4","8c5e6943-270d-4b0f-aeb3-6341c5ac2100","To make sure that the user understands that it is AI. 

Romantic and therapeutic relationships should be restricted as both these are the most intimate."
"88ecd2a3-4026-4ed6-9f73-c29b7279143d","​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","d9e98a54-e8ba-4924-a7bd-3c8c91bd14fa","4c7a6017-5a20-43c8-89f1-7cde770349af","AI is not human they not have a real feeling and can not understand the real human feeling they can only generate what input given by the user. Therefore there is needed to have balance and check by human on their work progress. "
